ts,score,ear,gaze_h,gaze_v
1762160076.961,52.379,0.0000,0.0000,0.0000
1762160077.072,50.879,0.0000,0.0000,0.0000
1762160077.266,49.379,0.0000,0.0000,0.0000
1762160077.472,47.879,0.0000,0.0000,0.0000
1762160077.667,46.379,0.0000,0.0000,0.0000
1762160077.777,44.879,0.0000,0.0000,0.0000
1762160077.968,43.379,0.0000,0.0000,0.0000
1762160078.177,41.879,0.0000,0.0000,0.0000
1762160078.368,40.379,0.0000,0.0000,0.0000
1762160078.481,38.879,0.0000,0.0000,0.0000
1762160078.672,37.379,0.0000,0.0000,0.0000
1762160078.883,35.879,0.0000,0.0000,0.0000
1762160079.071,34.379,0.0000,0.0000,0.0000
1762160079.184,32.879,0.0000,0.0000,0.0000
1762160079.376,31.379,0.0000,0.0000,0.0000
1762160079.584,29.879,0.0000,0.0000,0.0000
1762160079.776,28.379,0.0000,0.0000,0.0000
1762160079.887,26.879,0.0000,0.0000,0.0000
1762160080.080,25.379,0.0000,0.0000,0.0000
1762160080.290,23.879,0.0000,0.0000,0.0000
1762160080.482,22.379,0.0000,0.0000,0.0000
1762160080.592,20.879,0.0000,0.0000,0.0000
1762160080.785,19.379,0.0000,0.0000,0.0000
1762160080.992,17.879,0.0000,0.0000,0.0000
1762160081.186,16.379,0.0000,0.0000,0.0000
1762160081.296,14.879,0.0000,0.0000,0.0000
1762160081.488,13.379,0.0000,0.0000,0.0000
1762160081.698,11.879,0.0000,0.0000,0.0000
1762160081.889,10.379,0.0000,0.0000,0.0000
1762160082.097,8.879,0.0000,0.0000,0.0000
1762160082.288,7.379,0.0000,0.0000,0.0000
1762160082.402,5.879,0.0000,0.0000,0.0000
1762160082.593,4.379,0.0000,0.0000,0.0000
1762160082.801,2.879,0.0000,0.0000,0.0000
1762160082.993,1.379,0.0000,0.0000,0.0000
1762160083.105,0.000,0.0000,0.0000,0.0000
1762160083.296,0.000,0.0000,0.0000,0.0000
1762160083.504,0.000,0.0000,0.0000,0.0000
1762160083.696,0.000,0.0000,0.0000,0.0000
1762160083.810,0.000,0.0000,0.0000,0.0000
1762160084.002,0.000,0.0000,0.0000,0.0000
1762160084.210,0.000,0.0000,0.0000,0.0000
1762160084.403,0.000,0.0000,0.0000,0.0000
1762160084.512,0.000,0.0000,0.0000,0.0000
1762160084.711,0.000,0.0000,0.0000,0.0000
1762160084.922,2.500,0.1784,1.0000,0.2699
1762160085.107,5.000,0.2751,1.0000,0.4600
1762160085.221,7.500,0.2269,1.0000,0.6025
1762160085.413,10.000,0.1248,1.0000,0.3021
1762160085.620,12.500,0.2355,1.0000,0.1206
1762160085.815,15.000,0.2721,1.0000,0.3571
1762160085.919,17.500,0.2385,1.0000,0.2893
1762160086.022,20.000,0.2370,1.0000,0.1587
1762160086.213,22.500,0.2088,1.0000,0.1509
1762160086.325,25.000,0.2275,1.0000,0.4847
1762160086.517,27.500,0.2590,1.0000,0.6362
1762160086.629,30.000,0.1916,1.0000,0.7010
1762160086.823,32.500,0.1451,1.0000,0.4259
1762160087.029,35.000,0.2308,1.0000,0.3023
1762160087.222,37.500,0.2716,1.0000,0.1901
1762160087.332,40.000,0.2493,1.0000,0.4078
